seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made
31881,2025,5110,Adama Sanogo,NA,C,22,2,NBA,CHI,4,21,0.571,2.1,1,0.714,0.286,0,0,0,0.571,0.6,0.5,NA,NA,NA,0.5,NA,0.143,0,NA,NA,0,0
31882,2025,5211,Adem Bona,NA,C,21,1,NBA,PHI,58,905,0.703,2.3,0.995,0.755,0.229,0.01,0,0.005,0.707,0.731,0.659,0,NA,0,0.696,NA,0.401,64,1,0,0,0
31883,2025,5212,Ajay Mitchell,NA,SG,22,1,NBA,OKC,36,597,0.495,12.2,0.674,0.217,0.353,0.065,0.038,0.326,0.548,0.625,0.492,0.833,0.143,0.383,0.397,0.957,0.005,0,0.267,0.375,1,0
31884,2025,3734,Al Horford,NA,C,38,18,NBA,BOS,60,1659,0.423,19,0.319,0.119,0.163,0.015,0.022,0.681,0.551,0.745,0.467,0.429,0.2,0.363,0.827,0.991,0.017,8,0.318,0.39,1,0
31885,2025,3982,Alec Burks,NA,SG,33,14,NBA,MIA,49,863,0.424,20.8,0.236,0.059,0.1,0.041,0.037,0.764,0.422,0.5,0.296,0.545,0.5,0.425,0.556,0.955,0,0,0.488,0.406,1,0
31886,2025,4465,Alex Caruso,NA,SG,30,8,NBA,OKC,54,1041,0.446,15.2,0.459,0.287,0.124,0.025,0.022,0.541,0.556,0.656,0.41,0.5,0.143,0.353,0.688,0.933,0.029,9,0.365,0.419,0,0
31887,2025,5213,Alex Ducas,NA,SG,24,1,NBA,OKC,21,125,0.4,19.7,0.3,0.133,0.067,0.033,0.067,0.7,0.222,0.25,0,0,0.5,0.476,1,1,0,0,0.429,0.556,0,0
31888,2025,4142,Alex Len,NA,C,31,12,NBA,TOT,46,380,0.508,7.5,0.857,0.429,0.333,0.079,0.016,0.143,0.556,0.63,0.571,0.2,0,0.222,0.733,1,0.206,9,0.444,0.25,0,0
31889,2025,4142,Alex Len,NA,C,31,12,NBA,SAC,36,258,0.537,7.5,0.854,0.439,0.317,0.073,0.024,0.146,0.6,0.722,0.538,0.333,0,0.167,0.762,1,0.195,7,0.5,0,0,0
31890,2025,4142,Alex Len,NA,C,31,12,NBA,LAL,10,122,0.455,7.5,0.864,0.409,0.364,0.091,0,0.136,0.474,0.444,0.625,0,NA,0.333,0.667,1,0.227,2,0.333,1,0,0
31891,2025,5214,Alex Reese,NA,PF,25,1,NBA,TOT,15,216,0.481,10.3,0.241,0.13,0.093,0,0.019,0.759,0.846,1,0.6,NA,1,0.366,0.636,1,0.037,2,0.366,0.2,1,0
31892,2025,5214,Alex Reese,NA,PF,25,1,NBA,OKC,1,2,1,0,1,1,0,0,0,0,1,1,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0
31893,2025,5214,Alex Reese,NA,PF,25,1,NBA,PHI,14,214,0.472,20.7,0.226,0.113,0.094,0,0.019,0.774,0.833,1,0.6,NA,1,0.366,0.7,1,0.038,2,0.366,0.2,1,0
31894,2025,5215,Alex Sarr,NA,C,19,1,NBA,WAS,67,1814,0.394,14.4,0.588,0.17,0.298,0.086,0.034,0.412,0.454,0.695,0.36,0.324,0.393,0.308,0.701,0.952,0.077,58,0.15,0.373,0,0
31895,2025,5028,Alondes Williams,NA,SG,25,3,NBA,DET,1,4,1,13.5,0.5,0.5,0,0,0,0.5,1,1,NA,NA,NA,1,0,1,0,0,0,NA,0,0
31896,2025,4904,Alperen Şengün,NA,C,22,4,NBA,HOU,76,2395,0.496,7.5,0.921,0.319,0.405,0.164,0.033,0.079,0.519,0.679,0.454,0.396,0.368,0.233,0.473,0.952,0.067,65,0.067,0.333,0,0
31897,2025,5113,Amen Thompson,NA,SF,22,2,NBA,HOU,69,2225,0.557,7.8,0.869,0.42,0.298,0.096,0.055,0.131,0.599,0.758,0.471,0.493,0.263,0.275,0.523,0.96,0.212,138,0.582,0.377,2,0
31898,2025,4690,Amir Coffey,NA,SG,27,6,NBA,LAC,72,1748,0.471,16.2,0.516,0.159,0.169,0.124,0.065,0.484,0.529,0.704,0.419,0.476,0.485,0.409,0.683,0.97,0.063,28,0.368,0.462,0,0
31899,2025,4064,Andre Drummond,NA,C,31,13,NBA,PHI,40,751,0.5,5.4,0.915,0.573,0.299,0.038,0.004,0.085,0.533,0.582,0.471,0.333,0,0.15,0.64,0.667,0.171,36,0.4,0.25,2,0
31900,2025,5114,Andre Jackson Jr.,NA,SG,23,2,NBA,MIL,67,980,0.477,12.2,0.614,0.371,0.152,0.076,0.015,0.386,0.529,0.658,0.3,0.4,0.333,0.395,0.656,0.967,0.147,23,0.566,0.372,0,0
31901,2025,5029,Andrew Nembhard,NA,SG,25,3,NBA,IND,65,1881,0.458,14.9,0.675,0.163,0.187,0.199,0.126,0.325,0.538,0.727,0.535,0.449,0.441,0.291,0.474,0.824,0.002,1,0.269,0.298,1,0
31902,2025,4223,Andrew Wiggins,NA,SF,29,11,NBA,TOT,60,1842,0.448,14.5,0.585,0.168,0.284,0.061,0.073,0.415,0.501,0.596,0.487,0.49,0.344,0.374,0.504,0.869,0.052,40,0.164,0.421,0,0
31903,2025,4223,Andrew Wiggins,NA,SF,29,11,NBA,GSW,43,1296,0.444,14.7,0.578,0.141,0.321,0.049,0.066,0.422,0.491,0.602,0.508,0.448,0.205,0.379,0.551,0.872,0.061,32,0.153,0.447,0,0
31904,2025,4223,Andrew Wiggins,NA,SF,29,11,NBA,MIA,17,546,0.458,14.4,0.602,0.231,0.195,0.088,0.088,0.398,0.523,0.586,0.408,0.545,0.591,0.36,0.405,0.861,0.032,8,0.19,0.368,0,0
31905,2025,4586,Anfernee Simons,NA,SG,25,7,NBA,POR,70,2292,0.426,17.9,0.473,0.124,0.181,0.108,0.059,0.527,0.496,0.636,0.446,0.369,0.591,0.363,0.186,0.609,0.014,15,0.093,0.327,5,0
31906,2025,5116,Anthony Black,NA,PG,21,2,NBA,ORL,78,1887,0.423,12,0.685,0.255,0.308,0.071,0.052,0.315,0.471,0.627,0.414,0.25,0.344,0.318,0.435,0.839,0.06,30,0.39,0.395,1,0
31907,2025,4066,Anthony Davis,NA,PF,31,13,NBA,TOT,51,1706,0.516,10.8,0.864,0.297,0.291,0.144,0.132,0.136,0.553,0.756,0.487,0.344,0.475,0.282,0.605,0.886,0.099,86,0.081,0.1,0,0
31908,2025,4066,Anthony Davis,NA,C,31,13,NBA,LAL,42,1440,0.528,9.6,0.876,0.301,0.309,0.142,0.124,0.124,0.56,0.763,0.496,0.361,0.457,0.298,0.597,0.964,0.103,75,0.096,0,0,0
31909,2025,4066,Anthony Davis,NA,PF,31,13,NBA,DAL,9,266,0.461,12,0.803,0.276,0.204,0.151,0.171,0.197,0.516,0.714,0.419,0.261,0.538,0.233,0.651,0.571,0.079,11,0.033,1,0,0
31910,2025,4808,Anthony Edwards,NA,SG,23,5,NBA,MIN,79,2871,0.447,16.9,0.497,0.176,0.158,0.084,0.08,0.503,0.501,0.678,0.453,0.341,0.372,0.395,0.384,0.475,0.039,54,0.107,0.414,10,0
31911,2025,4809,Anthony Gill,NA,PF,32,5,NBA,WAS,51,397,0.489,11.8,0.648,0.295,0.33,0.011,0.011,0.352,0.579,0.654,0.552,0,0,0.323,0.606,1,0.011,1,0.387,0.333,0,0
31912,2025,5216,Anton Watson,NA,SF,24,1,NBA,NYK,9,22,0.444,6.4,0.889,0.444,0.444,0,0,0.111,0.5,0.75,0.25,NA,NA,0,0.75,NA,0.111,1,0,NA,0,0
31913,2025,5217,Antonio Reeves,NA,SG,24,1,NBA,NOP,44,660,0.456,16.4,0.48,0.19,0.157,0.101,0.032,0.52,0.521,0.617,0.513,0.44,0.25,0.395,0.726,0.863,0.02,4,0.349,0.311,1,0
31914,2025,5218,Ariel Hukporti,NA,C,22,1,NBA,NYK,25,217,0.677,3.4,1,0.645,0.258,0.097,0,0,0.677,0.75,0.5,0.667,NA,NA,0.952,NA,0.323,10,NA,NA,0,0
31915,2025,5219,Armel Traoré,NA,SF,22,1,NBA,LAL,9,67,0.316,10.3,0.632,0.474,0.158,0,0,0.368,0.5,0.556,0.333,NA,NA,0,0.833,NA,0.105,2,0.714,0,0,0
31916,2025,5117,Ausar Thompson,NA,SF,22,2,NBA,DET,59,1328,0.535,6,0.893,0.498,0.352,0.033,0.011,0.107,0.572,0.69,0.451,0.2,0.2,0.224,0.621,1,0.272,107,0.51,0.24,4,0
31917,2025,4906,Austin Reaves,NA,SG,26,4,NBA,LAL,73,2550,0.46,17.1,0.488,0.142,0.211,0.107,0.028,0.512,0.547,0.748,0.484,0.45,0.379,0.377,0.44,0.72,0.007,7,0.122,0.446,7,0
31918,2025,4907,Ayo Dosunmu,NA,SG,25,4,NBA,CHI,46,1394,0.492,12.4,0.579,0.372,0.176,0.027,0.004,0.421,0.612,0.707,0.456,0.333,0.5,0.328,0.553,0.935,0.027,11,0.407,0.351,0,0
31919,2025,4472,Bam Adebayo,NA,C,27,8,NBA,MIA,78,2674,0.485,11.4,0.801,0.213,0.285,0.247,0.057,0.199,0.517,0.705,0.461,0.436,0.444,0.357,0.605,0.886,0.123,125,0.29,0.453,0,0
31920,2025,5220,Baylor Scheierman,NA,SG,24,1,NBA,BOS,31,384,0.355,21.3,0.255,0.073,0.118,0.018,0.045,0.745,0.464,0.625,0.385,0,0.6,0.317,0.615,0.885,0,0,0.28,0.348,0,0
31921,2025,5118,Ben Sheppard,NA,SG,23,2,NBA,IND,63,1228,0.418,18.3,0.307,0.164,0.105,0.024,0.014,0.693,0.591,0.702,0.433,0.571,0.5,0.342,0.731,0.985,0.007,2,0.578,0.339,0,0
31922,2025,4474,Ben Simmons,NA,PG,28,7,NBA,TOT,51,1120,0.52,4.9,1,0.422,0.507,0.067,0.004,0,0.52,0.606,0.478,0.333,0,NA,0.517,NA,0.103,18,NA,NA,0,0
31923,2025,4474,Ben Simmons,NA,PG,28,7,NBA,BRK,33,825,0.547,4.7,1,0.435,0.512,0.047,0.006,0,0.547,0.649,0.494,0.25,0,NA,0.473,NA,0.106,14,NA,NA,0,0
31924,2025,4474,Ben Simmons,NA,PG,28,7,NBA,LAC,18,295,0.434,5.1,1,0.377,0.491,0.132,0,0,0.434,0.45,0.423,0.429,NA,NA,0.696,NA,0.094,4,NA,NA,0,0
31925,2025,5030,Bennedict Mathurin,NA,SF,22,3,NBA,IND,72,2149,0.458,13.2,0.662,0.273,0.237,0.066,0.087,0.338,0.519,0.635,0.485,0.393,0.338,0.34,0.584,0.714,0.049,39,0.139,0.4,3,0
31926,2025,5119,Bilal Coulibaly,NA,SF,20,2,NBA,WAS,59,1948,0.421,13.3,0.641,0.268,0.218,0.096,0.059,0.359,0.5,0.749,0.346,0.283,0.297,0.281,0.51,0.905,0.128,72,0.232,0.346,0,0
31927,2025,3984,Bismack Biyombo,NA,C,32,14,NBA,SAS,28,528,0.588,4.4,1,0.465,0.447,0.088,0,0,0.588,0.698,0.569,0.1,NA,NA,0.791,NA,0.123,11,NA,NA,0,0
31928,2025,5031,Blake Wesley,NA,SG,21,3,NBA,SAS,58,683,0.435,10.8,0.688,0.446,0.134,0.065,0.043,0.312,0.5,0.602,0.4,0.333,0,0.293,0.656,0.941,0.081,14,0.362,0.333,0,0
31929,2025,4307,Bobby Portis,NA,PF,29,10,NBA,MIL,49,1244,0.466,14.1,0.701,0.2,0.193,0.163,0.145,0.299,0.508,0.655,0.487,0.423,0.43,0.365,0.519,0.969,0.015,7,0.258,0.435,0,0
31930,2025,5221,Bobi Klintman,NA,SF,21,1,NBA,DET,8,42,0.6,17.4,0.5,0.2,0.1,0.1,0.1,0.5,0.8,1,1,0,1,0.4,0.75,1,0.1,1,0.4,0.5,0,0
31931,2025,4475,Bogdan Bogdanović,NA,SG,32,8,NBA,TOT,54,1348,0.427,18.7,0.413,0.11,0.128,0.12,0.055,0.587,0.517,0.574,0.476,0.525,0.481,0.363,0.524,0.848,0.002,1,0.208,0.367,1,0
31932,2025,4475,Bogdan Bogdanović,NA,SG,32,8,NBA,ATL,24,598,0.371,19.1,0.348,0.152,0.076,0.063,0.058,0.652,0.5,0.588,0.353,0.429,0.538,0.301,0.769,0.909,0.004,1,0.267,0.308,0,0
31933,2025,4475,Bogdan Bogdanović,NA,SG,32,8,NBA,LAC,30,750,0.474,18.3,0.466,0.075,0.172,0.168,0.052,0.534,0.528,0.55,0.522,0.556,0.429,0.427,0.379,0.803,0,0,0.147,0.476,1,0
31934,2025,4692,Bol Bol,NA,PF,25,6,NBA,PHO,36,448,0.525,17.3,0.492,0.098,0.158,0.153,0.082,0.508,0.711,0.833,0.759,0.679,0.533,0.344,0.844,1,0.055,10,0.548,0.353,0,0
31935,2025,4908,Bones Hyland,NA,PG,24,4,NBA,TOT,24,239,0.398,22.4,0.305,0.085,0.085,0.051,0.085,0.695,0.417,0.7,0.3,0.167,0.4,0.39,0.4,0.438,0.017,2,0.098,0.5,1,0
31936,2025,4908,Bones Hyland,NA,PG,24,4,NBA,LAC,20,222,0.391,21.2,0.304,0.087,0.087,0.052,0.078,0.696,0.4,0.7,0.3,0.167,0.333,0.388,0.429,0.452,0.017,2,0.1,0.5,1,0
31937,2025,4908,Bones Hyland,NA,PG,24,4,NBA,MIN,4,17,0.667,23.6,0.333,0,0,0,0.333,0.667,1,NA,NA,NA,1,0.5,0,0,0,0,0,NA,0,0
31938,2025,4072,Bradley Beal,NA,SG,31,13,NBA,PHO,53,1702,0.497,15.2,0.62,0.159,0.199,0.143,0.12,0.38,0.565,0.764,0.536,0.505,0.422,0.386,0.519,0.873,0.024,16,0.303,0.413,0,0
31939,2025,5222,Branden Carlson,NA,C,25,1,NBA,OKC,32,246,0.443,18.3,0.32,0.186,0.124,0,0.01,0.68,0.677,0.778,0.583,NA,0,0.333,0.524,1,0.124,10,0.273,0.333,0,0
31940,2025,5120,Brandin Podziemski,NA,SG,21,2,NBA,GSW,64,1716,0.445,17.2,0.509,0.111,0.2,0.135,0.062,0.491,0.516,0.671,0.508,0.482,0.333,0.372,0.552,0.843,0.002,0,0.172,0.396,4,0
31941,2025,4909,Brandon Boston Jr.,NA,SG,23,4,NBA,NOP,42,993,0.436,14.9,0.633,0.234,0.11,0.171,0.118,0.367,0.485,0.674,0.262,0.369,0.489,0.35,0.504,0.857,0.066,21,0.229,0.313,0,0
31942,2025,4693,Brandon Clarke,NA,PF,28,6,NBA,MEM,64,1207,0.621,5.7,0.955,0.429,0.395,0.132,0,0.045,0.647,0.816,0.553,0.38,NA,0.059,0.762,1,0.079,29,0.765,0.077,0,0
31943,2025,4378,Brandon Ingram,NA,SF,27,9,NBA,NOP,18,595,0.465,16,0.655,0.117,0.153,0.24,0.144,0.345,0.514,0.744,0.412,0.538,0.396,0.374,0.402,0.837,0.027,9,0.07,0.25,0,0
31944,2025,5121,Brandon Miller,NA,SF,22,2,NBA,CHO,27,924,0.403,19,0.403,0.112,0.159,0.096,0.037,0.597,0.475,0.727,0.41,0.362,0.278,0.355,0.511,0.808,0.037,17,0.082,0.333,4,0
31945,2025,4910,Brandon Williams,1999,PG,25,3,NBA,DAL,33,487,0.521,12.1,0.681,0.356,0.218,0.069,0.037,0.319,0.578,0.672,0.415,0.615,0.571,0.4,0.297,0.833,0.005,1,0.2,0.417,2,0
31946,2025,4911,Braxton Key,NA,SF,27,4,NBA,GSW,3,11,0,11.5,0.75,0,0.5,0.25,0,0.25,0,NA,0,0,NA,0,NA,NA,0.25,0,0,NA,0,0
31947,2025,5122,Brice Sensabaugh,NA,SF,21,2,NBA,UTA,71,1432,0.459,18.7,0.379,0.075,0.172,0.11,0.022,0.621,0.52,0.711,0.495,0.455,0.385,0.422,0.585,0.86,0.008,5,0.306,0.509,1,0
31948,2025,5223,Bronny James,NA,SG,20,1,NBA,LAL,27,181,0.313,16.6,0.522,0.09,0.239,0.149,0.045,0.478,0.343,0.667,0.313,0.2,0.333,0.281,0.5,0.778,0.015,1,0.25,0.25,0,0
31949,2025,3801,Brook Lopez,NA,C,36,17,NBA,MIL,80,2546,0.509,16,0.518,0.229,0.151,0.109,0.03,0.482,0.636,0.78,0.59,0.464,0.391,0.373,0.745,0.986,0.071,52,0.097,0.583,0,0
31950,2025,4593,Bruce Brown,NA,PG,28,7,NBA,TOT,41,922,0.421,11.1,0.738,0.265,0.278,0.172,0.023,0.262,0.452,0.646,0.337,0.358,0.286,0.333,0.65,0.963,0.023,6,0.506,0.39,1,0
31951,2025,4593,Bruce Brown,NA,PG,28,7,NBA,TOR,18,353,0.435,11.2,0.725,0.275,0.267,0.153,0.031,0.275,0.484,0.639,0.371,0.4,0.5,0.306,0.674,1,0.015,2,0.556,0.45,1,0
31952,2025,4593,Bruce Brown,NA,PG,28,7,NBA,NOP,23,569,0.41,11.1,0.747,0.258,0.287,0.185,0.017,0.253,0.429,0.652,0.314,0.333,0,0.356,0.632,0.938,0.028,4,0.467,0.333,0,0
31953,2025,4695,Bruno Fernando,NA,C,26,6,NBA,TOR,17,147,0.531,4.1,1,0.592,0.327,0.041,0.041,0,0.531,0.655,0.438,0,0,NA,0.654,NA,0.143,7,NA,NA,0,0
31954,2025,5032,Bryce McGowens,NA,SG,22,3,NBA,POR,13,32,0.286,11.3,0.714,0.143,0.429,0.143,0,0.286,0.4,1,0.167,0.5,NA,0,0.75,NA,0.143,2,0.25,0,0,0
31955,2025,5224,Bub Carrington,NA,PG,19,1,NBA,WAS,82,2458,0.401,19.1,0.456,0.102,0.114,0.102,0.139,0.544,0.475,0.553,0.353,0.553,0.462,0.339,0.481,0.667,0.027,18,0.135,0.327,1,0
31956,2025,4381,Buddy Hield,NA,SG,32,9,NBA,GSW,82,1863,0.417,20,0.302,0.093,0.127,0.041,0.041,0.698,0.527,0.726,0.5,0.406,0.281,0.37,0.616,0.931,0.011,9,0.233,0.367,1,0
31957,2025,4150,CJ McCollum,NA,PG,33,12,NBA,NOP,56,1832,0.444,16.1,0.541,0.157,0.185,0.138,0.061,0.459,0.505,0.669,0.443,0.442,0.41,0.373,0.443,0.737,0.003,3,0.144,0.348,0,0
31958,2025,4912,Cade Cunningham,NA,PG,23,4,NBA,DET,70,2452,0.469,12.6,0.713,0.167,0.362,0.129,0.056,0.287,0.515,0.605,0.497,0.479,0.444,0.356,0.228,0.57,0.033,39,0.048,0.4,4,0
31959,2025,5034,Caleb Houstan,NA,SF,22,3,NBA,ORL,58,788,0.421,22.4,0.158,0.042,0.063,0.032,0.021,0.842,0.533,0.625,0.5,0.5,0.5,0.4,0.938,0.984,0.005,0,0.331,0.302,0,0
31960,2025,4696,Caleb Martin,NA,SF,29,6,NBA,TOT,45,1218,0.424,13.2,0.661,0.243,0.181,0.082,0.155,0.339,0.458,0.608,0.327,0.56,0.319,0.359,0.435,0.973,0.03,7,0.417,0.488,2,0
31961,2025,4696,Caleb Martin,NA,SF,29,6,NBA,PHI,31,943,0.435,15.2,0.625,0.22,0.164,0.082,0.159,0.375,0.469,0.608,0.421,0.526,0.297,0.379,0.471,1,0.034,6,0.368,0.563,2,0
31962,2025,4696,Caleb Martin,NA,SF,29,6,NBA,DAL,14,275,0.389,11.1,0.778,0.319,0.236,0.083,0.139,0.222,0.429,0.609,0.118,0.667,0.4,0.25,0.333,0.75,0.014,1,0.688,0.273,0,0
31963,2025,5225,Cam Christie,NA,SG,19,1,NBA,LAC,13,59,0.292,15.9,0.458,0.292,0.125,0,0.042,0.542,0.455,0.429,0.667,NA,0,0.154,0.6,1,0.083,1,0.154,0,0,0
31964,2025,4697,Cam Reddish,NA,SF,25,6,NBA,LAL,33,589,0.404,14.7,0.5,0.245,0.202,0.032,0.021,0.5,0.532,0.87,0.211,0,0.5,0.277,0.52,1,0.096,8,0.489,0.304,0,0
31965,2025,5226,Cam Spencer,NA,SG,24,1,NBA,MEM,25,252,0.415,19,0.354,0.098,0.134,0.098,0.024,0.646,0.517,0.625,0.545,0.5,0,0.358,0.867,0.947,0,0,0.113,0.333,0,0
31966,2025,4913,Cam Thomas,NA,SG,23,4,NBA,BRK,25,781,0.438,16.3,0.57,0.141,0.183,0.154,0.093,0.43,0.506,0.625,0.434,0.471,0.524,0.349,0.473,0.544,0,0,0.123,0.25,1,0
31967,2025,5123,Cam Whitmore,NA,SF,20,2,NBA,HOU,51,827,0.444,14.9,0.546,0.253,0.203,0.037,0.052,0.454,0.518,0.686,0.341,0.467,0.429,0.355,0.482,0.785,0.112,35,0.213,0.436,1,0
31968,2025,4698,Cameron Johnson,NA,PF,28,6,NBA,BRK,57,1800,0.475,17.2,0.454,0.191,0.119,0.082,0.062,0.546,0.578,0.783,0.449,0.41,0.413,0.39,0.556,0.906,0.035,24,0.213,0.448,0,0
31969,2025,4311,Cameron Payne,NA,PG,30,10,NBA,NYK,72,1090,0.401,17.8,0.426,0.128,0.209,0.065,0.025,0.574,0.453,0.526,0.441,0.379,0.364,0.363,0.302,0.645,0,0,0.094,0.375,0,0
31970,2025,4382,Caris LeVert,NA,SG,30,9,NBA,TOT,64,1596,0.467,14.3,0.526,0.299,0.125,0.087,0.015,0.474,0.552,0.665,0.427,0.404,0.222,0.373,0.644,0.792,0.053,30,0.31,0.42,0,0
31971,2025,4382,Caris LeVert,NA,SF,30,9,NBA,CLE,38,904,0.453,14.6,0.503,0.302,0.114,0.074,0.013,0.497,0.5,0.633,0.294,0.318,0.25,0.405,0.573,0.817,0.047,12,0.331,0.449,0,0
31972,2025,4382,Caris LeVert,NA,SG,30,9,NBA,ATL,26,692,0.482,13.9,0.548,0.296,0.136,0.1,0.017,0.452,0.6,0.697,0.537,0.467,0.2,0.338,0.697,0.761,0.06,18,0.287,0.385,0,0
31973,2025,5124,Cason Wallace,NA,SG,21,2,NBA,OKC,68,1876,0.474,13.2,0.575,0.272,0.233,0.055,0.014,0.425,0.562,0.662,0.491,0.407,0.429,0.356,0.563,0.986,0.065,29,0.438,0.341,0,0
31974,2025,4917,Charles Bassey,NA,C,24,4,NBA,SAS,36,376,0.581,3.5,1,0.598,0.299,0.094,0.009,0,0.581,0.614,0.571,0.455,0,NA,0.779,NA,0.325,30,NA,NA,0,0
31975,2025,5125,Chet Holmgren,NA,C,22,2,NBA,OKC,32,877,0.49,12.4,0.66,0.29,0.226,0.117,0.026,0.34,0.547,0.747,0.442,0.25,0.556,0.379,0.642,1,0.117,39,0.164,0.421,1,0
31976,2025,4481,Chris Boucher,NA,PF,32,8,NBA,TOR,50,862,0.492,14.9,0.478,0.292,0.114,0.054,0.019,0.522,0.633,0.75,0.429,0.5,0.429,0.363,0.643,0.986,0.111,32,0.42,0.395,0,0
31977,2025,4919,Chris Duarte,NA,SG,27,4,NBA,CHI,17,74,0.462,16.1,0.423,0.269,0.154,0,0,0.577,0.545,0.571,0.5,NA,NA,0.4,0.667,0.667,0,0,0.067,1,0,0
31978,2025,5126,Chris Livingston,NA,SF,21,2,NBA,MIL,21,106,0.333,9.2,0.704,0.519,0.185,0,0,0.296,0.474,0.571,0.2,NA,NA,0,0.556,NA,0.111,3,0.375,0,0,0
31979,2025,3585,Chris Paul,NA,PG,39,20,NBA,SAS,82,2292,0.427,21.2,0.364,0.026,0.048,0.189,0.101,0.636,0.514,0.8,0.536,0.518,0.424,0.377,0.22,0.493,0,0,0.127,0.34,2,0
31980,2025,5036,Christian Braun,NA,SG,23,3,NBA,DEN,79,2675,0.58,9.9,0.727,0.418,0.245,0.027,0.038,0.273,0.648,0.758,0.522,0.409,0.419,0.397,0.762,0.888,0.124,94,0.317,0.352,1,0
31981,2025,5037,Christian Koloko,NA,C,24,2,NBA,LAL,37,342,0.606,4.6,0.939,0.621,0.273,0.015,0.03,0.061,0.645,0.707,0.5,1,0.5,0,0.825,NA,0.455,25,0.5,0,0,0
31982,2025,4818,Chuma Okeke,NA,PF,26,5,NBA,TOT,9,196,0.5,19.2,0.3,0.3,0,0,0,0.7,0.75,0.75,NA,NA,NA,0.393,0.444,1,0.125,3,0.429,0.5,0,0
31983,2025,4818,Chuma Okeke,NA,PF,26,5,NBA,PHI,7,171,0.545,16.8,0.333,0.333,0,0,0,0.667,0.727,0.727,NA,NA,NA,0.455,0.375,1,0.121,2,0.409,0.556,0,0
